名稱,郵遞區號,地址,相對位置,營業時間,座標x,座標y,儲格數,櫃型,備註,付費方式
松山運動中心ｉ郵箱,10500,臺北市松山區敦化北路1號,大門右側,24小時,121.550541,25.048169,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
松山全聯民有超市ｉ郵箱,10500,臺北市松山區民權東路3段140巷15號,側門左側,24小時,121.547083,25.060376,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北電影主題公園ｉ郵箱,10800,臺北市萬華區康定路19號,女廁旁平台,24小時,121.503382,25.045442,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北大直美堤花園A區ｉ郵箱,10400,臺北市中山區敬業三路162巷63號1樓,管理室外,24小時,121.556845,25.078450,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
文山萬芳郵局ｉ郵箱,11600,臺北市文山區興隆路3段180號,大門左側,24小時,121.556417,24.998107,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
信義運動中心ｉ郵箱,11000,臺北市信義區松勤路100號,大門左側,24小時,121.566838,25.031879,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
內湖行善社宅ｉ郵箱,11400,臺北市內湖區行善路268號,268號門後牆面,24小時,121.579486,25.060667,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
臺北西湖市場ｉ郵箱,11400,臺北市內湖區內湖路1段285號,1樓手扶梯右側牆面,24小時,121.566679,25.082384,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
北投新奇岩社宅ｉ郵箱,11200,臺北市北投區磺港路269~271號,右側幼稚園後方,24小時,121.501031,25.123052,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
南港中南社宅ｉ郵箱,11500,臺北市南港區舊莊街1段3巷42號,大門通道右側,24小時,121.616483,25.042697,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
天母圖書館ｉ郵箱,11100,臺北市士林區中山北路7段154巷6號,全聯右側1樓停車場入口,24小時,121.533033,25.123966,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
南港鴻福社區ｉ郵箱,11500,臺北市南港區成福路92號,發展協會大門左側,24小時,121.586606,25.043347,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
北捷三民高中站ｉ郵箱,24700,新北市蘆洲區三民路105號B1,B1樓層近2號出口大廳處,06:00-24:00,121.472992,25.085623,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
北捷徐匯中學站ｉ郵箱,24700,新北市蘆洲區中山一路3號B1,B1樓層近2號出口樓梯前,06:00-24:00,121.479868,25.080377,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
北捷蘆洲站ｉ郵箱,24700,新北市蘆洲區三民路386號B1,B1樓層近1號出口男女廁對面,06:00-24:00,121.464576,25.091594,30,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
北捷竹圍站ｉ郵箱,25100,新北市淡水區民權路50號,1號出口公車候車處,06:00-24:00,121.459809,25.136329,20,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
樹林巨人科技園區ｉ郵箱,23800,新北市樹林區柑園街2段122巷6號,大廳左側牆面,24小時,121.384510,24.955190,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
中和台灣科技廣場ｉ郵箱,23500,新北市中和區橋和路1號,後方卸貨碼頭左側,24小時,121.488300,25.005870,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
大溪綜合活動中心ｉ郵箱,33500,桃園市大溪區公園路30號,大門右側,24小時,121.284010,24.904829,40,四代櫃,(智慧郵筒),郵政金融卡/悠遊卡/一卡通/愛金卡
